month,dayofmonth,hourofday,hour,mwh2123,mwh2120,mwh2137,mwh2059,mwh2141,mwh2142,mwh2129,mwh2158,mwh2130,mwh2146,mth2123,mth2120,mth2137,mth2059,mth2141,mth2142,mth2129,mth2158,mth2130,mth2146
6,26,19,44,14.92435,15.63226667,16.247925,15.393675,13.58828333,13.50890833,14.760975,16.32871667,14.145625,15.78196667,35.81166667,35.96916667,35.565,35.88416667,35.33333333,35.3825,35.7375,35.8175,35.4275,35.75166667
6,26,20,45,14.92835833,15.63565833,16.24884167,15.39985833,13.58828333,13.50835833,14.75849167,16.333675,14.14758333,15.82094167,35.89083333,36.02833333,35.705,36.08416667,35.365,35.42833333,35.70833333,35.85,35.49916667,35.7325
6,26,21,46,14.922025,15.62693333,16.23848333,15.38648333,13.58641667,13.50169167,14.74681667,16.31929167,14.14575,15.811975,35.84666667,36.05833333,35.75416667,36.05083333,35.47583333,35.3875,35.655,35.875,35.63166667,35.76166667
6,26,22,47,14.915525,15.61921667,16.22845833,15.37454167,13.58378333,13.49681667,14.735775,16.316575,14.144525,15.81133333,35.7575,35.98583333,35.64666667,36.08833333,35.54666667,35.315,35.69666667,35.87333333,35.71,35.68333333
6,26,23,48,14.90891667,15.61481667,16.22195,15.365525,13.582775,13.492875,14.72756667,16.31095,14.14416667,15.81370833,35.78083333,35.97666667,35.6075,36.15166667,35.61416667,35.37,35.7075,35.83666667,35.72166667,35.62416667
6,27,0,49,14.90143333,15.60860833,16.21448333,15.35543333,13.58103333,13.488325,14.719375,16.30446667,14.14336667,15.8144,36.01583333,35.97583333,35.72333333,36.305,35.68666667,35.37333333,35.88916667,35.94416667,35.77416667,35.7375
6,27,1,50,14.89339167,15.60191667,16.20618333,15.34525,13.57824167,13.48405833,14.71086667,16.298825,14.14085833,15.80008333,35.91583333,35.85416667,35.68833333,36.02583333,35.64083333,35.36083333,35.8875,35.9725,35.62916667,35.79916667
6,27,2,51,14.88754167,15.60234167,16.20309167,15.333325,13.57905833,13.48341667,14.70525833,16.29853333,14.14421667,15.78521667,35.71,35.81916667,35.63583333,35.74333333,35.52,35.16166667,35.7625,35.78083333,35.56333333,35.60666667
6,27,3,52,14.887275,15.60165833,16.20129167,15.331825,13.583475,13.48261667,14.70006667,16.304975,14.1485,15.78154167,35.6625,35.96583333,35.48166667,35.74666667,35.46916667,35.15916667,35.6675,35.85666667,35.49916667,35.63666667
6,27,4,53,14.88545833,15.59846667,16.198775,15.32953333,13.58254167,13.47986667,14.69441667,16.30075,14.15155,15.77896667,35.69,36.03833333,35.52333333,35.61416667,35.53,35.32833333,35.74416667,35.86666667,35.52666667,35.67083333
